ticker,company,sector,signal,buy_score,quality_score,composite_score,overheat_score,ev_to_sales,ev_to_fcf,net_debt_to_ebitda,current_ratio,revenue_growth,eps_growth,roic,gross_margin,fcf_margin,change_6m,change_1y
AMGN,Amgen Inc.,Healthcare,WATCH,11.5,4,15.5,1,6.746572337566972,30.625273861728395,2.4335099266870017,1.1399819529993331,0.09924006701771182,0.8805774278215223,,0.7048872691669613,,32.92364,17.85098
PM,Philip Morris International Inc.,Consumer Defensive,WATCH,11.5,3,14.5,0,7.469405455759188,28.434732171980492,2.5739461358313815,0.9581547174263578,0.07175669253920482,0.6578366445916113,,0.6642280027588925,,-0.80405003,9.50033
GILD,"Gilead Sciences, Inc.",Healthcare,WATCH,11.5,4,15.5,0,6.773937988451872,21.093419593442626,1.3205118262892594,1.6833996444594939,0.023961883564025874,1.0,,0.8079953807485905,,24.67063,28.40759
ICE,"Intercontinental Exchange, Inc.",Financial Services,WATCH,11.5,3,14.5,0,8.638764193780661,25.455048235252974,2.920534775424365,1.0197584288363688,0.07456848907405833,0.20833333333333334,,0.6188479189745213,,-10.66583,-6.52174
MSFT,Microsoft Corporation,Technology,WATCH,11.5,3,14.5,0,10.154981761023791,40.069622847232985,0.5171878673877263,1.3860236144763662,0.1493215623240672,0.1551433389544688,,0.6858632915702252,,-19.28405,6.29386
MDT,Medtronic plc,Healthcare,WATCH,11.0,3,14.0,0,3.9778842646544925,26.090803187985212,2.8777255237280888,2.535123749341759,0.03624397478680015,0.31046931407942235,,0.6194904745800924,,-5.61273,-4.63122
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,WATCH,11.0,4,15.0,1,5.588983732508767,19.64519906310501,-0.07084665360420749,4.125515062723194,0.00992113786790593,0.05305623471882645,,0.8535372902272205,,36.48539,7.98569
DIS,The Walt Disney Company,Communication Services,WATCH,10.5,1,11.5,0,2.2972023030736763,31.144336493059487,2.126460052951254,0.6693476318141197,0.03353728615054564,1.0,,0.3728425759538635,,-13.82815,3.05414
SNOW,Snowflake Inc.,Technology,WATCH,10.5,3,13.5,1,13.036890476534102,54.5062286109073,0.06934478976059243,1.2987366145666894,0.2916256250006894,-0.023316062176165882,,0.6716860100436683,,-20.41153,19.21281
SPGI,S&P Global Inc.,Financial Services,WATCH,10.0,4,14.0,0,9.28544734148409,26.10000374431818,1.6185834957764782,0.8244074898520362,0.07939189189189189,0.1868932038834952,,0.7024647887323944,,-22.09737,-10.59375
